ExptGroup,Expt,Strain,Media,Bact,Light,Temp,Rep,Bact.short,Growth.Rate,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I,P_I.C,FSC.mean,FSC.stdev,REDF.mean,REDF.stdev,REDF.samedayaschl,chl.percell,TotC.perday,Base.Bact,Best.fit,Best.a,Best.g,Max.Rate.Scaled,Max.YellowF.Scaled,graz.rate.C,prop.C.phot,prop.C.het,Bact.short.2,Active.Chl,C.perOch,C.perOch.se,C.perOch.sd,N.perOch,N.perOch.se,N.perOch.sd,chl.to.C,P_I.perC,P_I.percell,attack.per.C,graz.per.C,Strain.Bact.Light,C.from.grazing,attack.per.C.scaled,C.from.grazing.perCperday,CUE,C.eff.phot,C.eff.phag,N.from.grazing.perCperday,N.from.grazing.perNperday,N.deficit,TotalNinOch.pgNpermL,TotalNinOch.molperL
Photoacc,5,1392,fswK,Rice,50,24,A,R,0.663278,0.501,521.540794,2.5271239,512.063658,1.35E+01,2.98E-11,2.31696888,9.53E-02,1.61E-09,221.005843,113.911568,1.96859465,8575.56737,277.763063,6968.19067,475.564151,10213.7573,0.28271585,NA,32710000,TypeI,7.22E-07,566.565517,23.1903111,2049.46872,56.6565517,0.13835152,0.86164848,R,0.14164064,20.334,2.57085444,6.29728157,3.98916667,0.71040085,1.74011958,13.9036023,0.32844669,6.68E+00,3.55E-08,27.8629643,1392.R.50,3.16522239,0.85216878,3.16522239,0.18985141,2.01943885,0.20955178,0.31338836,1.5974361,1.40839602,7.98E+05,5.69E-05
Photoacc,5,1392,fswK,Rice,50,24,B,R,0.722605,0.507,525.215576,2.48366948,517.001559,1.33E+01,2.41E-11,2.3049068,9.09E-02,1.11E-09,224.304757,113.37371,1.95929952,8877.43987,360.330838,7021.57532,429.469068,10100.6267,0.28384439,NA,32710000,TypeI,6.80E-07,533.559356,22.2578895,2389.84684,53.3559356,0.13295123,0.86704877,R,0.14390911,20.334,2.57085444,6.29728157,3.98916667,0.71040085,1.74011958,13.9591027,0.32820076,6.67E+00,3.34E-08,26.2397638,1392.R.50,2.98082741,0.80259664,2.98082741,0.21837378,2.20171642,0.24241759,0.29513143,1.50437496,1.08187731,7.98E+05,5.69E-05
Photoacc,5,1392,fswK,Rice,50,24,C,R,0.750308,0.514,521.555265,2.50013673,513.541191,1.45E+01,5.81E-11,2.27911681,9.86E-02,2.53E-09,225.324647,112.121546,1.93765989,8529.2664,402.992194,6380.53342,590.477036,10300.0185,0.27029286,NA,32710000,TypeI,8.51E-07,667.814842,27.7720687,2199.98079,66.7814842,0.12142063,0.87857937,R,0.13893053,20.334,2.57085444,6.29728157,3.98916667,0.71040085,1.74011958,13.2926558,0.30907975,6.28E+00,4.19E-08,32.8422761,1392.R.50,3.73087036,1.00442608,3.73087036,0.1857221,2.42755469,0.20110803,0.3693931,1.88290939,1.50951528,7.98E+05,5.69E-05
Photoacc,5,590,fswK,Xenic,75,24,A,X,0.457468,0.549,199.907209,1.56658493,186.562549,5.22202406,5.22E-11,1.53997103,1.14E-01,2.70E-07,121.146791,102.700763,1.77485198,7424.22883,166.369553,8501.89842,423.178604,8031.39835,0.26243031,NA,1610666.67,TypeII,1.27E-06,49.262525,1.68170684,53941.2048,4.9262525,0.54161342,0.45838658,X,0.14407424,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,19.3200227,0.41148217,5.59E+00,9.35E-08,3.62668896,590.X.75,0.41199052,2.24392638,0.41199052,0.55553512,1.11175656,1.11038478,0.04079114,0.57933883,0.26640296,191280,1.37E-05
Photoacc,5,590,fswK,Xenic,75,24,B,X,0.421999,0.555,206.583718,1.4404272,188.564282,6.82427923,5.17E-10,1.3261996,1.14E-01,1.00E-06,142.183938,91.1626907,1.57545357,7451.67208,302.068242,8608.11816,483.390628,7975.86237,0.26987063,NA,1610666.67,TypeII,1.38E-06,53.4891459,1.82651666,43710.9615,5.34891459,0.48346328,0.51653672,X,0.1497782,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,19.8677767,0.37560912,5.10E+00,1.02E-07,3.93785124,590.X.75,0.44733844,2.43828221,0.44733844,0.51278966,1.12350574,0.94335511,0.04429093,0.62904488,0.49063121,191280,1.37E-05
Photoacc,5,590,fswK,Xenic,75,24,C,X,0.420885,0.57,215.037597,1.44974198,196.477078,7.00691794,4.54E-10,1.33306919,1.10E-01,7.09E-07,147.387007,92.1595222,1.59268059,7372.81836,210.885152,8408.76942,457.438872,7911.90232,0.25590694,NA,1610666.67,TypeII,1.32E-06,50.8866808,1.7930579,131.01292,5.08866808,0.52448772,0.47551228,X,0.14586696,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,18.8397749,0.36006893,4.89E+00,9.72E-08,3.74625871,590.X.75,0.4255736,2.33226994,0.4255736,0.53572075,1.1689012,0.98898288,0.042136,0.59843928,0.42185937,191280,1.37E-05
Photoacc,5,590,fswK,Rice,75,24,A,R,0.735624,0.551,316.076911,1.90241182,297.230328,1.05E+01,4.29E-10,1.65645025,1.15E-01,1.63E-07,179.438126,117.471385,2.03011463,8278.80491,507.788138,16121.0077,3136.58361,10605.2742,0.45123117,NA,27424242.4,TypeI,5.35E-07,352.122551,14.2006591,1746.1758,35.2122551,0.21040476,0.78959524,R,0.24862837,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,15.7747396,0.38429436,1.10E+01,1.87E-08,12.3099687,590.R.75,1.39840787,0.44887781,1.39840787,0.41264547,1.91422015,0.52604395,0.13845622,0.8128815,0.10502308,9.74E+05,6.96E-05
Photoacc,5,590,fswK,Rice,75,24,B,R,0.751925,0.562,308.30147,1.78782881,291.885798,1.15E+01,1.08E-09,1.50705818,1.08E-01,2.06E-07,193.679183,107.699135,1.86123276,8130.32695,170.814031,9699.23509,645.343753,10545.2789,0.30519151,NA,27424242.4,TypeI,5.63E-07,370.643041,16.6341677,1958.94863,37.0643041,0.1955829,0.8044171,R,0.17151763,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,10.6692908,0.2382964,6.82E+00,1.97E-08,12.9574326,590.R.75,1.47195953,0.47237048,1.47195953,0.43965642,3.15541901,0.51083266,0.14573857,0.8556364,0.13792785,9.74E+05,6.96E-05
Photoacc,5,590,fswK,Rice,75,24,C,R,0.780537,0.56,310.563532,1.7598825,293.352754,1.17E+01,1.20E-09,1.49223513,1.06E-01,1.99E-07,196.586147,106.786254,1.84545655,8455.42625,497.65346,10287.9317,519.94468,10639.0686,0.31857925,NA,27424242.4,TypeI,4.92E-07,323.516075,12.9295056,1859.22116,32.3516075,0.20498981,0.79501019,R,0.17840438,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,11.1373174,0.24664122,7.06E+00,1.72E-08,11.3099054,590.R.75,1.28480105,0.41279978,1.28480105,0.50967445,3.16466561,0.60751585,0.12720803,0.74684291,-0.0431678,9.74E+05,6.96E-05
Photoacc,5,1392,fswK,Xenic,75,24,A,X,0.40330986,0.494,283.240282,1.97395215,268.102903,6.92504723,2.54E-11,1.80526059,1.07E-01,4.15E-08,148.512023,124.948775,2.15933725,7452.00337,62.3810074,8926.62964,567.776716,7871.28452,0.31541411,NA,1288571.43,TypeII,1.18E-06,36.4207559,1.07005715,136.810082,3.64207559,0.6747558,0.3252442,X,0.15581457,17.5228333,1.31282681,3.2157558,2.22616667,0.38658698,0.94694085,18.0001775,0.46642144,8.17E+00,6.73E-08,2.07847414,1392.X.75,0.23611389,1.61617699,0.23611389,0.57407769,0.86468979,1.70811578,0.02337761,0.18401228,-0.5437446,4.45E+05,3.18E-05
